name	x	y
paul Newman	475.2425407969813	425.2441485122719
Christina Ricci	596.1679092729252	348.81857827870635
Johnny Depp	554.3356222705669	394.08278082401335
Christopher Walken	441.66338543427895	214.22371972538153
Jeff Goldblum	473.7583546783522	168.67984467049703
Jack Nicholson	409.57450002446154	212.15294532568657
Seth Rogen	420.9359004712935	335.2163296338689
Dean Stockwell	431.34245812118877	319.487028484777
Dennis Hopper	477.50874127298306	361.593307973549
Laurence Fishburne	524.93154826607	402.3613861175821
Martin Sheen	538.4017258655215	344.28792260256563
Robert Duvall	411.3007689646891	374.8914219709145
Seymour Cassel	488.30698225805503	297.1203822721977
Diane Lane	568.5177072038102	448.96022916719767
Donald Sutherland	350.7351299246001	313.1819671102437
Elizabeth Banks	308.8098631470007	338.7849591545488
Jennifer Lawrence	327.0275357038186	386.14377076429736
Woody Harrelson	371.54011365047876	362.6509451966317
Dustin Hoffman	404.3084211790432	458.48833243594356
Kathy Bates	440.2747067095649	506.9762243276675
M. Emmet Walsh	346.2350740889877	444.276990221953
Paul Rudd	365.7901582705382	327.59522752130727
Tobey Maguire	337.9668295844983	285.33915363738237
Elliott Gould	641.9024154360233	415.96102128035545
Karen Black	651.9860763920435	355.68504077675954
Famke Janssen	659.6990565251565	438.4566468572842
Hugh Jackman	642.9039120609222	385.8929141715754
Patrick Stewart	599.0475704406236	402.4141005763086
Gary Sinise	610.5826376972634	227.7223784478334
Geoffrey Rush	544.4344232833967	455.5984395390204
Gwyneth Paltrow	459.8676104570061	406.0200933185912
Jon Favreau	506.4365534806543	440.0626861412758
Robert Downey Jr.	517.5164971926419	380.784068732014
Halle Berry	663.1344600664092	430.3660921073327
Harry Dean Stanton	609.6090399613387	367.22924556519797
Harvey Keitel	414.93479779838077	451.71260826317524
Rebecca Romijn	660.6789937312881	326.8621206216797
Keanu Reeves	576.1219133120554	368.6002146878828
Sean Bean	553.1128547800427	442.25367884998036
James Earl Jones	618.5186279543461	317.31286326275205
James Franco	433.6537463892933	273.862190108402
Kirsten Dunst	466.73078248575706	326.5207916558971
Jason Bateman	483.46082881517674	445.6361079529895
Jennifer Aniston	473.1405318217527	506.61807930543193
Jim Carrey	385.1027028010483	220.9771440980102
Steve Carell	370.21757848620194	278.2470757966925
John Cusack	565.8937531829525	235.69810242829854
Tim Allen	582.3938204685282	239.83146732477135
Joe Pesci	386.92178146764405	471.62715080660126
John Malkovich	591.6360857650932	289.34791300241676
Udo Kier	432.33318729883325	235.9676527979868
Jon Voight	350.16096539853464	362.2510120744646
Julianne Moore	377.7229111580803	424.42932393460717
Monica Bellucci	615.1469672745071	416.07532019815324
Michael Keaton	565.9113798936143	291.94945917384484
Michael York	503.69368660236444	199.98962858325802
Natalie Portman	606.3364323003105	301.9159360229995
Robert Wagner	498.77144201301167	483.2622964732504
Peter Falk	524.711064228463	248.6315513104176
Scarlett Johansson	518.4162831284355	319.33844030898746
Willem Dafoe	490.66181560476196	247.55303778768038
