name	x	y
The God of Small(-)Things: A Novel	3187.1	1129.3
A Fine(-)Balance 	3524.7	1252.2
The Elegance of(-)the Hedgehog	3975.6	1297.5
Merle's Door: Lessons from(-)a Freethinking Dog	3819.2	1659.5
Amazing Gracie: A(-)Dog's Tale	3864.7	1750
Wesley the Owl: The Remarkable Love Story(-)of an Owl and His Girl	3854.2	1524.3
Alex & Me: How a Scientist and a Parrot Uncovered a Hidden(-)World of Animal Intelligence--and Formed a Deep Bond in the Process	3955.7	1568.3
Letter to(-)My Daughter	3660.7	1274.9
The Bluest(-)Eye	3377.4	1000.4
Ralph Ellison's Invisible Man:(-)A Casebook 	3751.4	769.68
Ralph Ellison: A(-)Biography 	3834.7	858.63
New Essays on Invisible(-)Man 	3735.9	637.65
A Historical Guide to(-)Ralph Ellison 	3876.4	619.7
Spark Notes The Grapes(-)of Wrath	2988.8	676.39
A Farewell(-)To Arms	2929.8	905.45
Cane	3483.2	810.75
Plum Bun: A Novel(-)Without a Moral	3278.5	802.07
Wrapped in Rainbows: The Life of(-)Zora Neale Hurston 	3344.3	473.23
Every Tongue Got to Confess: Negro(-)Folk-tales from the Gulf States	3550.1	637.65
The Complete(-)Stories 	3277.4	561.29
"Zora Neale Hurston : Folklore, Memoirs, and Other Writings : Mules and(-)Men, Tell My Horse, Dust Tracks on a Road, Selected Articles "	3564.7	857.73
Dust Tracks on a(-)Road: An Autobiography 	3557.8	458
The Moon(-)Is Down	2984.4	459.68
The Pastures of(-)Heaven 	3000.5	370.6
The Eternal Husband and(-)Other Stories	2805.7	1539.5
The Iliad(-)of Homer	1410.5	1395.9
The Oresteia: Agamemnon; The Libation(-)Bearers; The Eumenides 	1685.2	1254.5
The Histories(-)	1211.6	1527
The Divine(-)Comedy 	1573.2	1342.6
The Inferno(-)	1713.5	1473.6
"Livy: The Early History of(-)Rome, Books I-V "	1060.3	1598.5
The Annals of Imperial(-)Rome 	1055.1	1554.4
Metamorphoses 	1615.7	1298.5
The Epic of Gilgamesh: An English(-)Verison with an Introduction 	2088.5	1484.3
"Theogony, Works and(-)Days "	1450	1229
Mythology: Timeless Tales of(-)Gods and Heroes	1633.4	779.5
How to Read Literature Like a Professor: A Lively(-)and Entertaining Guide to Reading Between the Lines	3593.4	725.68
Plato: Republic	1663.1	1720.8
The Trial and Death(-)of Socrates	1836.1	1802.4
The Rebel: An Essay(-)on Man in Revolt	2566.5	1636.4
The Alchemist	2866.3	265.18
Steppenwolf: A(-)Novel	2555.6	1013.9
Narcissus and(-)Goldmund	2382.8	862.08
"Favorite Jane Austen Novels: Pride and Prejudice,(-)Sense and Sensibility and Persuasion "	1897.3	511.11
The Host:(-)A Novel	2048.7	599.17
The Old Man and(-)The Sea	2748.4	924.64
For Whom the(-)Bell Tolls	2924.7	861.42
A Moveable(-)Feast	2747.6	767.03
Ulysses	2221.3	1476.7
The Second(-)Sex	2137	1997.3
The Feminine(-)Mystique	2268.1	2087
Moments of(-)Being	2264.8	1723.9
Dubliners 	2063.6	1383.5
Finnegans Wake(-)	2114.1	1439.5
Heart of(-)a Dog	2906.6	1709.3
We	2953.9	1487.6
Stories of(-)Anton Chekhov	2879	1483.1
Dead Souls:(-)A Novel	2826	1587.3
Stone Cold	4358	1769.6
People of the Book:(-)A Novel	4051.8	1519.9
Playing for(-)Pizza	4387.5	1675.7
A Place(-)Called Freedom	4259.2	1789.4
Night Over(-)Water	4143.2	1700.6
The Man From(-)St. Petersburg	4263.3	1699.2
On My Own: The Art of(-)Being a Woman Alone	4490.1	1653
A New Earth: Awakening to(-)Your Life's Purpose 	4605.3	1602.6
Happy for No Reason: 7 Steps to(-)Being Happy from the Inside Out	4627.4	1507.7
The Self-esteem Companion: Simple Exercises to Help You Challenge(-)Your Inner Critic & Celebrate Your Personal Strengths	4479.3	1724.1
Three Cups of Tea: One Man's Mission to Promote Peace(-). . . One School at a Time	4174.3	1475.7
A Writer's Workbook: Daily Exercises(-)for the Writing Life	4453.5	1551.7
Stern Men:(-)A Novel	4186.3	1430.9
Still Life with Chickens: Starting Over(-)in a House by the Sea	4341.5	1385.6
Into the(-)Wild	4598.5	1556.4
The Book of Laughter(-)and Forgetting	3165.3	1602.5
A Heartbreaking Work of(-)Staggering Genius	3175.2	1557.5
The Unbearable Lightness of(-)Being 	3024.7	1601.2
Of Love and Other(-)Demons 	3249.2	1425.2
The Autumn of the(-)Patriarch 	3336.9	1513.2
Snow Flower and the(-)Secret Fan: A Novel	3431.7	1601.3
Suite Francaise	3415.9	1646.5
The Thirteenth Tale:(-)A Novel	3672.1	1514.7
The Memory(-)Keeper's Daughter	3514.8	1646.3
"Girl, Interrupted"	3881.6	904.65
The Bell(-)Jar	3451.6	939.13
The Virgin(-)Suicides	3957.4	865.88
Prozac Nation(-)	3801.7	945.75
The Perks of Being(-)a Wallflower	3955.3	821.61
The Constant(-)Princess 	4172.7	1850.9
The Queen's Fool: A(-)Novel 	4009	1883.3
The Virgin's(-)Lover 	4111.8	1894.9
The Six Wives of(-)Henry VIII	4104.8	1806.7
Katherine	4019.6	1788.6
The Gathering(-)	3612	1394.4
Divisadero	3520.4	1374.3
Bridge of Sighs: A(-)Novel 	3679.2	1349.8
Blood Meridian: Or the Evening(-)Redness in the West	4028	1971.8
All the(-)Pretty Horses	3886.5	2031.6
"The Border Trilogy: All the Pretty Horses, the(-)Crossing, Cities of the Plain "	4109.3	2016.4
Oil!	3891.9	2079.3
Suttree	4159.1	1939.2
Being and(-)Time	2503.7	1791.7
Existentialism And Human(-)Emotions 	2322.5	1651
Chinua Achebe's Things Fall(-)Apart 	2501.9	1359.2
Achebe's Things Fall Apart:(-)A Reader's Guide 	2676.8	1278.3
Spark Notes Things(-)Fall Apart	2339.9	1292
Chinua Achebe's Things Fall(-)Apart: A Casebook 	2627.4	1234.3
Rosencrantz & Guildenstern(-)Are Dead	2035.3	1339.3
Grendel	2176.4	1287
"Henry IV, Part(-)1 "	1775.4	989.07
Sir Gawain and the(-)Green Knight 	1959.7	1162.7
13 by Shanley: Thirteen(-)Plays 	2318	178.41
Angels in America:  A Gay Fantasia on National Themes:(-)Part One: Millennium Approaches Part Two:  Perestroika	2672.9	419.4
Doubt 	2487.2	111.84
The Seafarer	2404.8	19
Rock 'n' Roll: A(-)New Play	2320.5	33.229
Dead Man's(-)Cell Phone	2324	78.27
Rabbit Hole	2468.2	67.827
Sarah Kane:(-)Complete Plays	2208	135.63
Oleanna	2543.5	375.39
Sexual Perversity in Chicago and the(-)Duck Variations: Two Plays	2363.1	289.58
How I Learned(-)to Drive	2618.9	211.22
Anna In(-)The Tropics	2551.8	148.68
Down These(-)Mean Streets	3687.3	1033.8
The Lost(-)Symbol	4635.5	1121.3
The Scarecrow	4741.9	1156.5
The Gate(-)House	4577.7	1304.2
Heat Lightning(-)	4649.9	1209.3
Extreme Measures: A(-)Thriller 	4556.5	1165.3
Bones 	4703.4	1102.4
The Book(-)Thief	3757.7	1480.3
Man Gone Down:(-)A Novel	3741.6	1210.6
Little Heathens: Hard Times and High Spirits on(-)an Iowa Farm During the Great Depression	4082.9	1253
The Kite(-)Runner	3262.2	1601.7
Midnight's Children:(-)A Novel	3057.9	1212.5
Rescuing Sprite: A Dog Lover's Story(-)of Joy and Anguish	3364.2	1959.9
